ID;Tipo_seccion;b(cm);h(cm);Altura_libre(m);Recubrimiento(cm);Pu(kN);Mu(kNm);f'c(MPa);λ;Clasificación;Ast(cm²);n_barras;diam_long(cm);diam_estribo(cm);paso_estribo(cm);cumple_estribo;Nota_diagrama
450;III;35.00;35.00;2.80;4.00;450.0;30.0;20;36.11;ESBELTA;12.25;11;12;10;8.5;False;γ=0.77, X=0.700, Y=3.673, ρg=0.010
C01-1;I;35.00;40.00;3.00;4.00;800.0;50.0;25;25.98;CORTA;14.00;7;16;6;19.2;;γ=0.80, X=0.893, Y=5.714, ρg=0.010
